tile_id,bm_patch,dmsp_patch,longitude,latitude,date,f_number,correlation,valid_fraction,dmsp_source_key
tile_102,Raw_NL_Data\bm\tile_102.tif,Raw_NL_Data\dmsp\tile_102.tif,90.37083333322522,23.72916666662119,2016-05-10,F15,0.38889588895513266,1.0,F152016/F15201605101958.night.OIS.vis.co.tif
tile_097,Raw_NL_Data\bm\tile_097.tif,Raw_NL_Data\dmsp\tile_097.tif,116.33749999988152,39.92916666661471,2012-11-10,F15,0.647051605537316,1.0,F152012/F15201211101952.night.OIS.vis.co.tif
tile_106,Raw_NL_Data\bm\tile_106.tif,Raw_NL_Data\dmsp\tile_106.tif,74.33749999989828,31.595833333284716,2015-10-02,F15,0.45892317182256076,1.0,F152015/F15201510022125.night.OIS.vis.co.tif
tile_100,Raw_NL_Data\bm\tile_100.tif,Raw_NL_Data\dmsp\tile_100.tif,108.90416666655113,34.262499999950315,2016-07-21,F15,0.2304537104013744,1.0,F152016/F15201607211919.night.OIS.vis.co.tif
tile_109,Raw_NL_Data\bm\tile_109.tif,Raw_NL_Data\dmsp\tile_109.tif,72.80416666656558,18.962499999956435,2012-07-10,F18,0.05366499988917752,1.0,F182012/F18201207101434.night.OIS.vis.co.tif
tile_107,Raw_NL_Data\bm\tile_107.tif,Raw_NL_Data\dmsp\tile_107.tif,31.237499999915514,30.062499999951996,2012-08-09,F15,0.5951322867596307,1.0,F152012/F15201208090211.night.OIS.vis.co.tif
tile_108,Raw_NL_Data\bm\tile_108.tif,Raw_NL_Data\dmsp\tile_108.tif,73.87083333323181,18.52916666662327,2017-12-16,F15,0.0385896425767904,0.546566,F152017/F15201712162038.night.OIS.vis.co.tif
tile_089,Raw_NL_Data\bm\tile_089.tif,Raw_NL_Data\dmsp\tile_089.tif,119.63749999988016,29.129166666619035,2012-10-26,F18,0.6327483301295798,1.0,F182012/F18201210261128.night.OIS.vis.co.tif
tile_110,Raw_NL_Data\bm\tile_110.tif,Raw_NL_Data\dmsp\tile_110.tif,73.13749999989878,19.26249999995632,2012-10-05,F18,0.2616226532679857,1.0,F182012/F18201210051400.night.OIS.vis.co.tif
tile_092,Raw_NL_Data\bm\tile_092.tif,Raw_NL_Data\dmsp\tile_092.tif,48.67083333324189,31.329166666618157,2013-10-19,F18,0.1766565695488085,1.0,F182013/F18201310191614.night.OIS.vis.co.tif
tile_105,Raw_NL_Data\bm\tile_105.tif,Raw_NL_Data\dmsp\tile_105.tif,78.10416666656346,9.929166666626713,2016-01-06,F16,0.02139319562321177,1.0,F162016/F16201601062242.night.OIS.vis.co.tif
